istota;projekt;znamka;majitel;cislo;firma;skupina;zhoda_slov;projekt_id
ista;Administratívna budova Panorama City V Business, Bratislava, Landererova ul.;PANORAMA CITY;JTRE a.s.;5378-2013;Menolli;J&T Real Estate;1;administrativna-budova-panorama-city-v-business-bratislava-landererova
ista;Auto Bavaria – Bory;Bory Bývanie;Bory , a. s.;379-2025;Bory;Penta Real Estate;1;auto-bavaria-bory
ista;Auto Bavaria – Bory;B Bory Bývanie;Bory , a. s.;372-2025;Bory;Penta Real Estate;1;auto-bavaria-bory
ista;Auto Bavaria – Bory;B BORY;Bory , a. s.;5465-2009;Bory;Penta Real Estate;1;auto-bavaria-bory
ista;Auto Bavaria – Bory;B BORY HOME;Bory , a. s.;5464-2009;Bory;Penta Real Estate;1;auto-bavaria-bory
ista;Auto Bavaria – Bory;B BORY OFFICE;Bory , a. s.;5463-2009;Bory;Penta Real Estate;1;auto-bavaria-bory
ista;Auto Bavaria – Bory;BORY;Bory , a. s.;5448-2009;Bory;Penta Real Estate;1;auto-bavaria-bory
ista;BORY MALL – Expanzia, Exteriérové parkovisko a BORY BÝVANIE 6 – časť Námestie;B BORY MALL;Bory Mall s. r. o.;5462-2009;Bory Home s.r.o.;Penta Real Estate;2;bory-mall-expanzia-exterierove-parkovisko-bory-byvanie-6-cast-namestie
ista;"Bory Bývanie 4B / Obytný súbor ""Bory Susedské Dvory""";Bory Bývanie;Bory , a. s.;379-2025;Bory Home II;Penta Real Estate;1;bory-byvanie-4b-obytny-subor-bory-susedske-dvory-
ista;"Bory Bývanie 4B / Obytný súbor ""Bory Susedské Dvory""";B Bory Bývanie;Bory , a. s.;372-2025;Bory Home II;Penta Real Estate;1;bory-byvanie-4b-obytny-subor-bory-susedske-dvory-
ista;"Bory Bývanie 4B / Obytný súbor ""Bory Susedské Dvory""";B BORY;Bory , a. s.;5465-2009;Bory Home II;Penta Real Estate;1;bory-byvanie-4b-obytny-subor-bory-susedske-dvory-
ista;"Bory Bývanie 4B / Obytný súbor ""Bory Susedské Dvory""";B BORY HOME;Bory , a. s.;5464-2009;Bory Home II;Penta Real Estate;1;bory-byvanie-4b-obytny-subor-bory-susedske-dvory-
ista;"Bory Bývanie 4B / Obytný súbor ""Bory Susedské Dvory""";B BORY OFFICE;Bory , a. s.;5463-2009;Bory Home II;Penta Real Estate;1;bory-byvanie-4b-obytny-subor-bory-susedske-dvory-
ista;"Bory Bývanie 4B / Obytný súbor ""Bory Susedské Dvory""";BORY;Bory , a. s.;5448-2009;Bory Home II;Penta Real Estate;1;bory-byvanie-4b-obytny-subor-bory-susedske-dvory-
ista;Bory bývanie 4A;Bory Bývanie;Bory , a. s.;379-2025;Bory Home II s.r.o.;Penta Real Estate;1;bory-byvanie-4a
