stavenisko OSM;zámer;vzdialenosť m;poznámka
East Tower;Administratívna budova Panorama City V Business, Bratislava, Landererova ul.;53;presný bod do 80 m
Chalupkova;Polyfunkčný objekt Chalupkova R1;52;presný bod do 80 m
Zwirn;Polyfunkčný súbor BCT 2, bytové domy;41;presný bod do 80 m
Pribinova;Úprava dočasnej ochrannej hrádze Dunaja v rámci sanácie environmentálnej záťaže;65;presný bod do 80 m
Čerešne Residence;Polyfunkčný komplex Čerešne 2;69;presný bod do 80 m
Sky Park Tower;Administratívna budova Čulenova, Bratislava;32;presný bod do 80 m
Orešianky;OBYTNÝ SÚBOR OREŠIANKY - ZÁHORSKÁ BYSTRICA;49;presný bod do 80 m
CityPark Petržalka D;"Polyfunkčné objekty ""DOMINO"" Jasovského ul., Bratislava - Petržalka";38;presný bod do 80 m
CityPark Petržalka E;"Polyfunkčné objekty ""DOMINO"" Jasovského ul., Bratislava - Petržalka";73;presný bod do 80 m
CityPark Petržalka B;"Polyfunkčné objekty ""DOMINO"" Jasovského ul., Bratislava - Petržalka";36;presný bod do 80 m
CityPark Petržalka A;"Polyfunkčné objekty ""DOMINO"" Jasovského ul., Bratislava - Petržalka";74;presný bod do 80 m
Istropolis;Nový Istropolis;42;presný bod do 80 m
Pri studničke;Bytový dom Studnička;46;presný bod do 80 m
Malý Trh;Dostavba územia autobusovej stanice a prestavba areálu Kablo Bratislava, Mlynské Nivy, na mestské polyfunkčné územie Twin City;67;presný bod do 80 m
Galéria Banskobystrická;Polyfunkčný bytový dom REZIDENCIA MEDZI HVIEZDAMI;42;presný bod do 80 m
Nový Istropolis - Zóna B;„Nadstavba polyfunkčného objektu, Škultétyho ul. Bratislava“;54;presný bod do 80 m
Predmestie;Obytný súbor Nové Slovany, Račianska ulica, Bratislava;45;presný bod do 80 m
Zwirn 2;Polyfunkčný súbor BCT 2, bytové domy;41;presný bod do 80 m
