id;nazov;mestska_cast;ucel;faza;navrhovatel;dokumentov;suradnice;poznamka;hladat_v_mapach;spis
devin-zahrady;Devín záhrady;Bratislava - Devín;Bývanie;posúdené;Záhradky Rezidencia s.r.o., Krajná 29;2;;;https://www.google.com/maps/search/Dev%C3%ADn%20z%C3%A1hrady%20Bratislava%20-%20Dev%C3%ADn;https://www.enviroportal.sk/eia/detail/devin-zahrady
pivovar-devin;Pivovar Devín;Bratislava - Devín;Vybavenosť;posúdené;DEWAR s.r.o., Kremeľská 862/5;6;;;https://www.google.com/maps/search/Pivovar%20Dev%C3%ADn%20Bratislava%20-%20Dev%C3%ADn;https://www.enviroportal.sk/eia/detail/pivovar-devin
rodinne-domy-13-20-lomnicka;Rodinné domy 13 - 20, Lomnická;Bratislava - Devín;Bývanie;posúdené;Lomnická, s.r.o., Dvořákovo nábrežie 10;19;;;https://www.google.com/maps/search/Rodinn%C3%A9%20domy%2013%20-%2020%2C%20Lomnick%C3%A1%20Bratislava%20-%20Dev%C3%ADn;https://www.enviroportal.sk/eia/detail/rodinne-domy-13-20-lomnicka
uzemny-plan-zony-devin-i;Územný plán zóny Devín I;Bratislava - Devín;Plány a koncepcie;posúdené;Mestská časť Bratislava - Devín;11;;;https://www.google.com/maps/search/%C3%9Azemn%C3%BD%20pl%C3%A1n%20z%C3%B3ny%20Dev%C3%ADn%20I%20Bratislava%20-%20Dev%C3%ADn;https://www.enviroportal.sk/eia/detail/uzemny-plan-zony-devin-i
auto-bavaria-bory;Auto Bavaria – Bory;Bratislava - Devínska Nová Ves;Bývanie;posúdené;Bory, a.s., Digital Park II, Einsteinova 25;3;;;https://www.google.com/maps/search/Auto%20Bavaria%20%E2%80%93%20Bory%20Bratislava%20-%20Dev%C3%ADnska%20Nov%C3%A1%20Ves;https://www.enviroportal.sk/eia/detail/auto-bavaria-bory
bau-land-vzorove-centrum-domov;BAU LAND – vzorové centrum domov;Bratislava - Devínska Nová Ves;Bývanie;posúdené;Bory, a.s., Digital Park II, Einsteinova 25;3;;;https://www.google.com/maps/search/BAU%20LAND%20%E2%80%93%20vzorov%C3%A9%20centrum%20domov%20Bratislava%20-%20Dev%C3%ADnska%20Nov%C3%A1%20Ves;https://www.enviroportal.sk/eia/detail/bau-land-vzorove-centrum-domov
bytovy-dom-bd2;BYTOVÝ DOM BD2;Bratislava - Devínska Nová Ves;Bývanie;posúdené;BA Development II., s.r.o., Černyševského 50;16;;;https://www.google.com/maps/search/BYTOV%C3%9D%20DOM%20BD2%20Bratislava%20-%20Dev%C3%ADnska%20Nov%C3%A1%20Ves;https://www.enviroportal.sk/eia/detail/bytovy-dom-bd2
bytovy-dom-bd2-devinska-nova-ves;BYTOVÝ DOM BD2, Devínska Nová Ves;Bratislava - Devínska Nová Ves;Bývanie;posúdené;BA Development II., s.r.o., Černyševského 50;22;;;https://www.google.com/maps/search/BYTOV%C3%9D%20DOM%20BD2%2C%20Dev%C3%ADnska%20Nov%C3%A1%20Ves%20Bratislava%20-%20Dev%C3%ADnska%20Nov%C3%A1%20Ves;https://www.enviroportal.sk/eia/detail/bytovy-dom-bd2-devinska-nova-ves
bory-byvanie-4b-obytny-subor-bory-susedske-dvory-;"Bory Bývanie 4B / Obytný súbor ""Bory Susedské Dvory""";Bratislava - Devínska Nová Ves;Bývanie;zámer;Bory Home II, s. r. o., Digital Park II, Einsteinova 25;5;;;https://www.google.com/maps/search/Bory%20B%C3%BDvanie%204B%20/%20Obytn%C3%BD%20s%C3%BAbor%20%22Bory%20Susedsk%C3%A9%20Dvory%22%20Bratislava%20-%20Dev%C3%ADnska%20Nov%C3%A1%20Ves;https://www.enviroportal.sk/eia/detail/bory-byvanie-4b-obytny-subor-bory-susedske-dvory-
bory-home-ii-bratislava;Bory Home II, Bratislava;Bratislava - Devínska Nová Ves;Polyfunkcia;posúdené;Bory Home, s.r.o., Digital Park II, Einsteinova 25;4;;;https://www.google.com/maps/search/Bory%20Home%20II%2C%20Bratislava%20Bratislava%20-%20Dev%C3%ADnska%20Nov%C3%A1%20Ves;https://www.enviroportal.sk/eia/detail/bory-home-ii-bratislava
